text,ocr_conf,label
Initializing | Al Proj Gib Home Share View Sa fon. | C\Windows\System32\cmd.exe - python screen_monitor.py Pin to Qui IGROSORe Uhadbrss [Marsion 10.0. TS Gao access (@) CReROSOFE Al rights ——— Bear SORSAD_MOMAGOP AY & —Es\t Pregiseraan_momitar ysis hnvaladgescapemsequencemma\ ba = P'Cs\Rragrem Pilles\hassaract Cen iassaract axe” +n comiter (mCrtiniciingd) cumming. lags Og Oo cI =p a=) 1 ua uF u @o Sth co 3 Og c <} Downloads } Music f=] Pictures IFA] Videos #. Local Disk (C:) => New Volume (E:),100,0
ve fA mt ann: WindG\Windows\system32\cmdrexemypy thon) OGR(S0%)ainitializing)TAllgroifGibibiome;sharexviewsSarony|ke\Windows\system32\cmdrexeeypythontscreensmoni! x | fw C:\Windows\System32\cmd.exe - python screen_monitor.py Pin to Qui IGROSORe Uhadbrss [Marsion 10.0. TS Gao access (@) CReROSOFE A rights ————Bs\Ar Prejpeytien sercenmeniter iy <¢ —Es\Al Pral\cersanmniter pysits GSatathrmings fmvalid oye pytessenactepy.tessenactmcessenactacmd—-mha Ga DnognamEgilesNLessenacteOCR\tessenactmex cm Bee SCocenmmon: comm UTACOGRe Phishing) mQunnine aloes PA@eneeA TaD roy\Scheenwmon.tonepy.304 4m DepnecationWwanning-mdatetimemdatetamesutcnow @)—eLsmdepnecat cod i © future version. Use timame-aare chjscts to raprasam datstines fn Wits datstine dit nm tinestp = dhtetine.utemn() fieotorninnK() 1. 1. ee a) | ua i F a @o Th Sp 3 og c U Downloads 2d Music J Pictures IFA] Videos #2 Local Disk (C:) wz» New Volume (E:),100,0
Tt fA mt ann: OGR(39%) aver AtmuannawindG\Windows\systems2\cmidrexemypyathon OGR(SO%)ainitializing) rAllgroitGibibiome;: x | fw C:\Windows\System32\cmd.exe - python screen_monitor.py Pin to Qui IGROSORe Uhadbrss [Marsion 10.0. TS Gao access (@) CReROSOFE A rights ————Bs\Ar Prejpeytien sercenmeniter iy <¢ —Es\Al Pral\cersanmniter pysits GSatathrmings fmvalid oye pytessenactepy.tessenactmcessenactacmd—-mha Ga DnognamEgilesNLessenacteOCR\tessenactmex cm Bee SCocenmmon: comm UTACOGRe Phishing) mQunnine aloes ar Quas\Al Gregiserean_moniter.aysitas Oeprecaticnikhrnings dtetine <datetine.otem() fs od fa © Guiure version. Use tinszme-emre chyjscts to represent chtetinas fim UiCs chtctine.cki nm tinestp = dhtetine.utemn() fieotorninnK() 1. 1. ee a) } ua i F a @o Sth Sp 3 Od 1. U Downloads 2d Music f=) Pictures IFA] Videos #5 Local Disk (C) wz» New Volume (E:),100,0
I Proj Share View Nindows\System32\cmd.exe - python screen_monitor.py - Sf teWindowsm \Wegsionmlo TO NLI04 56456) TROSORE Al eights Poy 2py.thonescneensmonitonepyy ProyNscheenwmoniLome py. a Scmoyntaxvanning-wminvalad| oy” nr ene -1)1CS\\leSSchactcOCR\ LessehaGtMexcm AWindows\ system 32\cmd:exeRapythoniscrccn¥monitoradatetimesdatetimesuccnow (ys smdeppecatedpandgschedul FutupemvensionwEUsemtimezone.awanemoby ectsmtomnepnesentmdatetimesminmUL Gy stanpeomdatetimesutcnow ()musofonmat() is (C) me (E:),100,0
"View tem32\cmd.exe - python screen_monitor.py _ O B (Narston 1.0.1mu.b Cb) Al rights NES CheenwmonitOneDy| NWMONLLOMEPY SLSmoyn CaxWanningwminvalad| a ae fcnd=SoaGa\ Programpriles i essenacteOGR\tessenactwexem fDoyPpy thonescneensmonitonepyyiproy Nscheenwmoni ‘atin ute) fs daprecstal) anid schattiled for rai ee womens cee peas, c CMe smLIEU Gmdacetimesdatetumesnow(datetumesUL@). ite teimemUt CHOW @MmLSOfonmat())",100,0
- Oo x nw 0 TOW @) ELS) and) schactited Gor UT Gmdatetimerdatetimemnow (datetimenULG) olcaxWanningwminvalad|faraelicnd—=SoaGa\ierogrampriles |,100,0
_ x ~@ _CCOCSCSC*‘NSYGY anningwminvalad|faraelicnd= = —soaGa\terogrampriles]|| |,100,0
_ x ~@ CCC ingwminvalad|faraclicnd—FosoaGa\terogrampriles||l|| |,100,0
_ x ~@ CCC ingwminvalad|faraclicnd—FosoaGa\terogrampriles||l|| |,100,0
"@ Script improvement summary %* | ©) Home+UB-Mannheim/tesserac X Mi (no subject) - malaikaarif34@gr x | - - oO xX Q nw eee WP? senactcOGR\tessenactwexem eatine ote) fs dapracsta) an) schahiled) Gor ranovail retimesmingULG:mdatetaimesdatetumesnow(datetames UIC) s CP Copy code eatine ote) fs dapracsta) an) schahiled) Gor rani retImesmIngU! Gmdacetumesdatetumesnow(datetimesUlG) es > la=°° @Ems=°° Garantie aar=""_ & <@ GSC tngminvaled 5 Copy code CD Copy code “ You should now see no OCR error messages, and the overlay should start showing: sess CD Copy code OCR(85%) [some text...] £3 Extra Tip (Quick Test) Vinti can allen tact OCR mannally hefare rrinningn unr ernnt",100,0
